game_rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,2000
139,Driver,PlayStation,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,1990
140,Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,2010
141,Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,2010
142,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,2000
143,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2000
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1990
145,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,2000
146,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1990
147,The Last of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2010
148,Final Fantasy XII,PlayStation 2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,2000
149,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,2000
150,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,2000
151,LEGO Star Wars: The Complete Saga,Wii U,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,2000
152,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1990
153,Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,1990
154,Cooking Mama,Nintendo DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,2000
155,Destiny,PlayStation 4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,2010
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1980
157,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2000
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,1990
159,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,2000
160,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2010
161,Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,2000
