game_rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
2468,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84,1980
2469,Street Fighter X Tekken,PlayStation 3,2012,Fighting,Capcom,0.42,0.22,0.1,0.1,0.84,2010
2470,Rocket Power: Team Rocket Rescue,PlayStation,2001,Sports,THQ,0.47,0.32,0.0,0.05,0.84,2000
2471,Duke Nukem Forever,Xbox 360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84,2010
2472,Big Mutha Truckers,PlayStation 2,2002,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84,2000
2473,Borderlands: The Handsome Collection,PlayStation 4,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84,2010
2474,Rogue Galaxy,PlayStation 2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,2000
2475,ESPN College Hoops 2K5,PlayStation 2,2004,Sports,Sega,0.41,0.32,0.0,0.11,0.84,2000
2476,Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,2000
2477,FIFA 15,PlayStation Vita,2014,Sports,Electronic Arts,0.13,0.48,0.04,0.19,0.84,2010
2478,Time Crisis 4,PlayStation 3,2007,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84,2000
2479,Ben 10: Protector of Earth,PlayStation 2,2007,Action,D3Publisher,0.09,0.0,0.0,0.74,0.84,2000
2480,Need for Speed Rivals,Xbox 360,2013,Racing,Electronic Arts,0.37,0.38,0.01,0.08,0.84,2010
2481,Q*bert,PlayStation,1999,Puzzle,Atari,0.46,0.32,0.0,0.05,0.84,1990
2482,WWE SmackDown vs. Raw 2009,Wii U,2008,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,2000
2483,Ace Combat 3: Electrosphere,PlayStation,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,1990
2484,Dynasty Warriors 2,PlayStation 2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,2000
2485,Battle of Giants: Dinosaurs,Nintendo DS,2008,Strategy,Ubisoft,0.38,0.37,0.0,0.09,0.83,2000
2486,Madden NFL 07,PSP,2007,Sports,Unknown,0.77,0.03,0.0,0.04,0.83,2000
2487,Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,2000
2488,Borderlands 2,PlayStation Vita,2014,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83,2010
2489,FIFA Soccer World Championship,PlayStation 2,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83,2000
2490,Brute Force,Xbox,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,2000
2491,Dance Central 3,Xbox 360,2012,Misc,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83,2010
2492,Yu-Gi-Oh! Dark Duel Stories,Game Boy Advance,2000,Misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83,2000
2493,The Game of Life,PlayStation,1998,Misc,Unknown,0.46,0.31,0.0,0.05,0.83,1990
2494,Mega Man Legends,PlayStation,1997,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83,1990
2495,NCAA Football 12,PlayStation 3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,2010
2496,Sly 3: Honor Among Thieves,PlayStation 2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83,2000
2497,The Price is Right,Wii U,2008,Misc,Ubisoft,0.77,0.0,0.0,0.06,0.83,2000
2498,Sid Meier's Civilization Revolution,Xbox 360,2008,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83,2000
2499,MLB SlugFest 20-03,PlayStation 2,2007,Sports,Unknown,0.41,0.32,0.0,0.11,0.83,2000
2500,I Spy: Fun House,Nintendo DS,2007,Puzzle,Scholastic Inc.,0.77,0.0,0.0,0.06,0.83,2000
2501,The Amazing Spider-Man (Console Version),PlayStation 3,2012,Action,Activision,0.31,0.37,0.0,0.14,0.83,2010
2502,Dragon Ball: Raging Blast 2,PlayStation 3,2010,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83,2010
2503,MediEvil,PlayStation,1998,Platform,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83,1990
2504,Casper,PlayStation,1996,Adventure,Interplay,0.46,0.31,0.0,0.05,0.83,1990
2505,Deca Sports 2,Wii U,2009,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82,2000
2506,James Bond 007: Nightfire,Xbox,2002,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82,2000
2507,Madden NFL 17,Xbox One,2016,Sports,Electronic Arts,0.72,0.02,0.0,0.09,0.82,2010
2508,Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,0.46,0.21,0.0,0.15,0.82,2000
2509,Tony Hawk's Pro Skater 3,GameCube,2001,Sports,Activision,0.64,0.17,0.0,0.02,0.82,2000
2510,Marvel: Ultimate Alliance,PlayStation 2,2006,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82,2000
2511,Star Wars The Clone Wars: Republic Heroes,Wii U,2009,Action,LucasArts,0.44,0.3,0.0,0.08,0.82,2000
2512,DJ Hero 2,Xbox 360,2010,Misc,Activision,0.64,0.12,0.0,0.06,0.82,2010
2513,Street Fighter V,PlayStation 4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82,2010
2514,Need for Speed: Hot Pursuit 2,Xbox,2002,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,2000
2515,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,1980
2516,Killer Instinct Gold,N64,1996,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82,1990
2517,Amped: Freestyle Snowboarding,Xbox,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,2000
2518,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82,1980
2519,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82,2000
2520,DmC: Devil May Cry,PlayStation 3,2013,Action,Capcom,0.24,0.28,0.19,0.12,0.82,2010
2521,Tales of the Abyss,Nintendo 3DS,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82,2010
2522,Rocket Power: Beach Bandits,PlayStation 2,2002,Platform,THQ,0.4,0.31,0.0,0.1,0.82,2000
2523,Guitar Hero: Warriors of Rock,PlayStation 3,2010,Misc,Activision,0.33,0.35,0.0,0.14,0.82,2010
2524,Hasbro Family Game Night 3,Wii U,2010,Misc,Electronic Arts,0.47,0.28,0.0,0.07,0.82,2010
2525,Madden NFL 16,PlayStation 3,2015,Sports,Electronic Arts,0.56,0.11,0.0,0.15,0.82,2010
2526,Stranglehold,Xbox 360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,2000
2527,Imagine: Rock Star,Nintendo DS,2008,Simulation,Ubisoft,0.4,0.33,0.0,0.09,0.82,2000
2528,Shin Megami Tensei: Persona 4,PlayStation 2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,2000
2529,SingStar Vol. 2,PlayStation 3,2008,Misc,Sony Computer Entertainment,0.29,0.4,0.0,0.13,0.82,2000
2530,Shaun White Snowboarding,Xbox 360,2007,Sports,Ubisoft,0.48,0.26,0.0,0.08,0.82,2000
2531,Madden NFL 25,PlayStation 4,2013,Sports,Electronic Arts,0.62,0.13,0.0,0.07,0.82,2010
2532,Twisted Metal (2012),PlayStation 3,2012,Action,Sony Computer Entertainment,0.67,0.07,0.0,0.07,0.82,2010
2533,Dragon Warrior III,Game Boy Advance,2000,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81,2000
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,Nintendo DS,2006,Action,Disney Interactive Studios,0.73,0.03,0.0,0.06,0.81,2000
2535,Ready 2 Rumble Boxing: Round 2,PlayStation 2,2000,Fighting,Midway Games,0.4,0.31,0.0,0.1,0.81,2000
2536,Kamaitachi no Yoru,SNES,1994,Adventure,ChunSoft,0.0,0.0,0.81,0.0,0.81,1990
2537,Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.17,0.81,2000
2538,Tales of Destiny II,PlayStation,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,2000
2539,Super Bomberman 2,SNES,1994,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0,0.81,1990
2540,NASCAR 2001,PlayStation,2000,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81,2000
2541,EA Sports Active NFL Training Camp,Wii U,2010,Sports,Electronic Arts,0.77,0.0,0.0,0.05,0.81,2010
2542,The Legend of Zelda: Four Swords Adventures,GameCube,2004,Action,Nintendo,0.63,0.16,0.0,0.02,0.81,2000
2543,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PlayStation,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.76,0.05,0.81,1990
2544,Guitar Hero Live,PlayStation 4,2015,Misc,Activision,0.32,0.35,0.0,0.13,0.81,2010
2545,Valkyrie Profile,PlayStation,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,1990
2546,Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81,2010
2547,Pro Evolution Soccer 2010,Xbox 360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,2000
2548,Army Men: Sarge's Heroes,N64,1999,Action,3DO,0.68,0.12,0.0,0.01,0.81,1990
2549,Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81,1980
2550,Tom Clancy's Rainbow Six 3,PlayStation 2,2004,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81,2000
2551,Lego Batman 3: Beyond Gotham,PlayStation 3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81,2010
2552,EarthBound,SNES,1994,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81,1990
2553,DiRT 2,Xbox 360,2009,Racing,Codemasters,0.32,0.4,0.0,0.09,0.81,2000
2554,Professor Layton vs Phoenix Wright: Ace Attorney,Nintendo 3DS,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.81,2010
2555,The Next Tetris,PlayStation,1998,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81,1990
2556,Dying Light,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81,2010
2557,NCAA Football 10,PlayStation 3,2009,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81,2000
2558,Ben 10: Alien Force,Wii U,2008,Action,Koch Media,0.52,0.21,0.0,0.07,0.81,2000
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PlayStation,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81,1990
2560,Final Fantasy XI: Wings of the Goddess,PlayStation 2,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81,2000
2561,The Sims 2,PlayStation 2,2005,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81,2000
2562,Guitar Hero: Metallica,Xbox 360,2009,Misc,Activision,0.52,0.21,0.0,0.07,0.81,2000
2563,NCAA Football 14,PlayStation 3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.8,2010
2564,MadWorld,Wii U,2009,Action,Sega,0.46,0.25,0.02,0.07,0.8,2000
2565,Fight Night Champion,Xbox 360,2011,Fighting,Electronic Arts,0.4,0.33,0.0,0.07,0.8,2010
2566,Who wants to be a millionaire,PlayStation,2000,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8,2000
2567,Yakuza,PlayStation 2,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8,2000
2568,Star Wars Rogue Squadron III: Rebel Strike,GameCube,2003,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8,2000
2569,ABBA: You Can Dance,Wii U,2011,Misc,Ubisoft,0.19,0.5,0.0,0.11,0.8,2010
2570,Moto Racer,PlayStation,1997,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8,1990
2571,Hitman: Contracts,PlayStation 2,2004,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8,2000
2572,The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,0.19,0.39,0.0,0.22,0.8,2000
2573,Final Fantasy Anthology,PlayStation,1999,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8,1990
2574,Aliens: Colonial Marines,Xbox 360,2013,Shooter,Sega,0.36,0.37,0.0,0.07,0.8,2010
2575,Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8,2000
2576,[Prototype 2],Xbox 360,2012,Action,Activision,0.48,0.25,0.0,0.07,0.8,2010
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,Xbox 360,2010,Racing,Sega,0.37,0.35,0.0,0.07,0.8,2010
2578,Goldeneye 007: Reloaded,PlayStation 3,2011,Shooter,Activision,0.33,0.35,0.0,0.13,0.8,2010
2579,NBA 2K16,PlayStation 3,2015,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8,2010
2580,All Star Cheer Squad,Wii U,2008,Sports,THQ,0.43,0.29,0.0,0.08,0.8,2000
2581,The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,0.08,0.46,0.0,0.25,0.8,2000
2582,Prince of Persia: Warrior Within,Xbox,2004,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8,2000
2583,Dragon's Dogma,Xbox 360,2012,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.8,2010
2584,Darksiders II,Xbox 360,2012,Action,THQ,0.45,0.28,0.0,0.07,0.8,2010
2585,Resident Evil: Revelations,PlayStation 3,2013,Action,Capcom,0.14,0.32,0.22,0.12,0.8,2010
2586,Rayman Raving Rabbids 2,Nintendo DS,2007,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8,2000
2587,Super Robot Taisen α,PlayStation,2000,Strategy,Banpresto,0.0,0.0,0.75,0.05,0.8,2000
2588,PES 2009: Pro Evolution Soccer,PSP,2007,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,2000
2589,Need for Speed: Hot Pursuit 2,GameCube,2002,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8,2000
2590,Star Wars: The Force Unleashed II,Wii U,2010,Action,LucasArts,0.54,0.19,0.0,0.06,0.8,2010
2591,Band Hero,Xbox 360,2009,Misc,Activision,0.51,0.22,0.0,0.07,0.8,2000
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8,2010
2593,Tales of Destiny 2,PlayStation 2,2002,Role-Playing,Namco Bandai Games,0.0,0.0,0.8,0.0,0.8,2000
2594,Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8,1990
2595,Sniper: Ghost Warrior,PlayStation 3,2011,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8,2010
2596,The Godfather II,Xbox 360,2009,Action,Electronic Arts,0.47,0.24,0.01,0.08,0.79,2000
2597,pro evolution soccer 2011,PSP,2010,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79,2010
2598,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79,1980
2599,Dragon Ball Z: Budokai Tenkaichi 2,PlayStation 2,2006,Fighting,Atari,0.66,0.02,0.0,0.11,0.79,2000
2600,The Walking Dead: Season One,PlayStation 3,2012,Adventure,Avanquest Software,0.4,0.25,0.03,0.11,0.79,2010
2601,Rayman Origins,Xbox 360,2011,Platform,Ubisoft,0.38,0.34,0.0,0.08,0.79,2010
2602,Guitar Hero: Aerosmith,PlayStation 2,2008,Misc,Activision,0.61,0.0,0.0,0.18,0.79,2000
2603,Ridge Racer,PlayStation,1994,Racing,Sony Computer Entertainment,0.0,0.0,0.74,0.05,0.79,1990
2604,Final Fantasy Tactics A2: Grimoire of the Rift,Nintendo DS,2007,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79,2000
2605,Harvest Moon: A Wonderful Life,GameCube,2003,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79,2000
2606,Momotarou Dentetsu 7,PlayStation,1997,Simulation,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79,1990
2607,Invizimals,PSP,2009,Strategy,Sony Computer Entertainment,0.17,0.51,0.0,0.11,0.79,2000
2608,Motocross Mania,PlayStation,2001,Racing,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79,2000
2609,Tiger Woods PGA Tour 10,PlayStation 3,2009,Sports,Electronic Arts,0.42,0.25,0.0,0.12,0.79,2000
2610,Star Wars The Clone Wars: Jedi Alliance,Nintendo DS,2008,Action,LucasArts,0.62,0.11,0.0,0.07,0.79,2000
2611,WCW Mayhem,N64,1999,Fighting,Electronic Arts,0.63,0.15,0.0,0.01,0.79,1990
2612,Mega Man 5,NES,1992,Platform,Capcom,0.39,0.07,0.32,0.01,0.79,1990
2613,Star Ocean: The Last Hope,Xbox 360,2009,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79,2000
2614,Dance Dance Revolution SuperNOVA 2,PlayStation 2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79,2000
2615,Armored Core 2,PlayStation 2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,2000
2616,Dragon Quest Monsters 2,Nintendo 3DS,2014,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79,2010
2617,Ghost Squad,Wii U,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.79,2000
2618,Dead Island: Riptide,Xbox 360,2013,Action,Deep Silver,0.44,0.27,0.01,0.07,0.79,2010
2619,Drawn to Life,Nintendo DS,2007,Action,THQ,0.71,0.02,0.0,0.06,0.79,2000
2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79,1990
2621,FIFA 12,Wii U,2011,Sports,Electronic Arts,0.16,0.52,0.0,0.11,0.79,2010
2622,Too Human,Xbox 360,2008,Role-Playing,Microsoft Game Studios,0.38,0.3,0.03,0.08,0.79,2000
2623,Sid Meier's Civilization Revolution,PlayStation 3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79,2000
2624,NCAA Football 08,PlayStation 2,2007,Sports,Electronic Arts,0.65,0.03,0.0,0.11,0.79,2000
2625,FIFA Soccer 2004,Xbox,2003,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79,2000
2626,Personal Trainer: Walking,Nintendo DS,2008,Sports,Nintendo,0.22,0.32,0.17,0.07,0.79,2000
2627,Naruto Shippuden: Ultimate Ninja Storm 2,Xbox 360,2010,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,0.79,2010
2628,PokePark 2: Wonders Beyond,Wii U,2011,Action,Nintendo,0.27,0.2,0.27,0.05,0.79,2010
2629,Professor Layton and the Azran Legacy,Nintendo 3DS,2013,Puzzle,Nintendo,0.0,0.48,0.25,0.06,0.78,2010
2630,Tom Clancy's Splinter Cell: Double Agent,Xbox 360,2006,Action,Ubisoft,0.67,0.05,0.01,0.06,0.78,2000
2631,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78,1980
2632,Lips,Xbox 360,2008,Misc,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.78,2000
2633,Secret Agent Barbie: Royal Jewels Mission,GBA,2002,Platform,Vivendi Games,0.56,0.21,0.0,0.01,0.78,2000
2634,Metroid Prime Hunters,Nintendo DS,2006,Shooter,Nintendo,0.58,0.04,0.11,0.06,0.78,2000
2635,The 7th Guest,PC,1992,Adventure,Virgin Interactive,0.01,0.77,0.0,0.0,0.78,1990
2636,Doom,PlayStation,1994,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78,1990
2637,Buzz! The Hollywood Quiz,PlayStation 2,2007,Misc,Sony Computer Entertainment,0.17,0.0,0.0,0.61,0.78,2000
2638,Puzzler World,Nintendo DS,2009,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.78,2000
2639,My Little Pony: Pinkie Pie's Party,Nintendo DS,2008,Adventure,THQ,0.72,0.0,0.0,0.06,0.78,2000
2640,We Sing,Wii U,2009,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.78,2000
2641,Marvel vs. Capcom: Clash of Super Heroes,PlayStation,1999,Fighting,Capcom,0.43,0.3,0.0,0.05,0.78,1990
2642,God of War Saga,PlayStation 3,2012,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.06,0.78,2010
2643,Battle Stations,PlayStation,1997,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78,1990
2644,Tetris Party Deluxe,Nintendo DS,2010,Puzzle,Nintendo,0.29,0.3,0.12,0.07,0.78,2010
2645,Pro Evolution Soccer 2016,PlayStation 4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78,2010
2646,Worms: Open Warfare,PSP,2006,Strategy,THQ,0.11,0.43,0.0,0.24,0.78,2000
2647,Star Wars Battlefront: Elite Squadron,PSP,2009,Shooter,LucasArts,0.38,0.24,0.0,0.16,0.78,2000
2648,UFC Personal Trainer: The Ultimate Fitness System,Xbox 360,2011,Sports,THQ,0.53,0.19,0.0,0.06,0.78,2010
2649,Resident Evil: Operation Raccoon City,Xbox 360,2012,Action,Capcom,0.55,0.15,0.03,0.06,0.78,2010
2650,NBA 2K7,PlayStation 2,2006,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,2000
2651,Need for Speed: ProStreet,PSP,2008,Racing,Electronic Arts,0.24,0.33,0.01,0.2,0.78,2000
2652,Toy Story 3: The Video Game,Xbox 360,2010,Action,Disney Interactive Studios,0.41,0.29,0.0,0.07,0.78,2010
2653,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78,1990
2654,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78,1980
2655,James Bond 007: Nightfire,GameCube,2002,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78,2000
2656,Banjo-Kazooie: Nuts & Bolts,Xbox 360,2008,Platform,Microsoft Game Studios,0.32,0.36,0.0,0.09,0.78,2000
2657,NBA ShootOut 98,PlayStation,1998,Sports,Sony Computer Entertainment,0.43,0.29,0.0,0.05,0.78,1990
2658,Avatar: The Game,Xbox 360,2009,Action,Ubisoft,0.34,0.35,0.0,0.08,0.78,2000
2659,Harry Potter and the Half-Blood Prince,Wii U,2009,Action,Electronic Arts,0.28,0.4,0.0,0.09,0.77,2000
2660,DJ Hero,Wii U,2009,Misc,Activision,0.47,0.23,0.0,0.07,0.77,2000
2661,Perfect Dark Zero,Xbox 360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77,2000
2662,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77,1980
2663,Andretti Racing,PlayStation,1996,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,1990
2664,Caesars Palace 2000: Millennium Gold Edition,PlayStation,2000,Misc,Interplay,0.43,0.29,0.0,0.05,0.77,2000
2665,Madden NFL 25,Xbox One,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77,2010
2666,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,1980
2667,Need For Speed: Undercover,PSP,2008,Racing,Electronic Arts,0.23,0.32,0.03,0.19,0.77,2000
2668,Duke Nukem Forever,PlayStation 3,2011,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77,2010
2669,Freedom Wars,PlayStation Vita,2014,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77,2010
2670,Marvel Nemesis: Rise of the Imperfects,PlayStation 2,2005,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77,2000
2671,Boxing,2600,1980,Fighting,Activision,0.72,0.04,0.0,0.01,0.77,1980
2672,Need for Speed: Porsche Unleashed,PlayStation,1999,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,1990
2673,Dragon Ball: Raging Blast,PlayStation 3,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77,2000
2674,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77,1980
2675,Conker's Bad Fur Day,N64,2001,Platform,THQ,0.53,0.22,0.0,0.02,0.77,2000
2676,Dragon Warrior I&II,Game Boy Advance,1999,Role-Playing,Enix Corporation,0.0,0.0,0.77,0.0,0.77,1990
2677,Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,0.55,0.2,0.0,0.01,0.77,2000
2678,My Baby Girl,Nintendo DS,2008,Simulation,Nobilis,0.61,0.1,0.0,0.06,0.77,2000
2679,LEGO Batman 2: DC Super Heroes,Nintendo DS,2012,Action,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77,2010
2680,Twisted Metal: Head On,PSP,2005,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77,2000
2681,Conflict: Desert Storm II - Back to Bagdhad,PlayStation 2,2003,Shooter,SCi,0.38,0.29,0.0,0.1,0.77,2000
2682,Maximo: Ghosts to Glory,PlayStation 2,2001,Platform,Capcom,0.38,0.29,0.0,0.1,0.77,2000
2683,Pokemon Dash,Nintendo DS,2004,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77,2000
2684,Donkey Kong Country 3,GBA,2005,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77,2000
2685,All-Star Baseball 2003,PlayStation 2,2002,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,2000
2686,Unlimited Saga,PlayStation 2,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77,2000
2687,Cabela's Deer Hunt: 2004 Season,PlayStation 2,2003,Sports,Activision Value,0.37,0.29,0.0,0.1,0.76,2000
2688,Sonic Unleashed,PlayStation 2,2008,Platform,Sega,0.37,0.04,0.0,0.36,0.76,2000
2689,Formula 1,PlayStation,1996,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76,1990
2690,Plants vs. Zombies: Garden Warfare,PlayStation 3,2014,Shooter,Electronic Arts,0.22,0.4,0.01,0.14,0.76,2010
2691,Raving Rabbids: Travel in Time,Wii U,2010,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.76,2010
2692,The Sims 3,Nintendo 3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,2010
2693,Driv3r,Xbox,2004,Racing,Atari,0.36,0.38,0.0,0.03,0.76,2000
2694,Mercenaries: Playground of Destruction,PlayStation 2,2005,Action,LucasArts,0.64,0.02,0.0,0.1,0.76,2000
2695,MTV Celebrity Deathmatch,PlayStation 2,2003,Fighting,Gotham Games,0.37,0.29,0.0,0.1,0.76,2000
2696,Street Fighter Alpha: Warriors' Dreams,PlayStation,1995,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76,1990
2697,Mortal Kombat,PlayStation Vita,2012,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76,2010
2698,ISS Pro Evolution,PlayStation,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76,1990
